Compound_id,Atc_id,relation_type,database
DB01414,J01DB,x-atc,DRUGBANK
DB01414,J01D,x-atc,DRUGBANK
DB01414,J01,x-atc,DRUGBANK
DB01414,J,x-atc,DRUGBANK
DB01415,J01DD,x-atc,DRUGBANK
DB01415,J01D,x-atc,DRUGBANK
DB01415,J01,x-atc,DRUGBANK
DB01415,J,x-atc,DRUGBANK
DB01416,J01DD,x-atc,DRUGBANK
DB01416,J01D,x-atc,DRUGBANK
DB01416,J01,x-atc,DRUGBANK
DB01416,J,x-atc,DRUGBANK
DB01418,B01AA,x-atc,DRUGBANK
DB01418,B01A,x-atc,DRUGBANK
DB01418,B01,x-atc,DRUGBANK
DB01418,B,x-atc,DRUGBANK
DB01421,A07AA,x-atc,DRUGBANK
DB01421,A07A,x-atc,DRUGBANK
DB01421,A07,x-atc,DRUGBANK
DB01421,A,x-atc,DRUGBANK
DB01422,J01XX,x-atc,DRUGBANK
DB01422,J01X,x-atc,DRUGBANK
DB01422,J01,x-atc,DRUGBANK
DB01422,J,x-atc,DRUGBANK
DB01423,R05CB,x-atc,DRUGBANK
DB01423,R05C,x-atc,DRUGBANK
DB01423,R05,x-atc,DRUGBANK
DB01423,R,x-atc,DRUGBANK
DB01424,N02BB,x-atc,DRUGBANK
DB01424,N02B,x-atc,DRUGBANK
DB01424,N02,x-atc,DRUGBANK
DB01424,N,x-atc,DRUGBANK
DB01425,A03FA,x-atc,DRUGBANK
DB01425,A03F,x-atc,DRUGBANK
DB01425,A03,x-atc,DRUGBANK
DB01425,A,x-atc,DRUGBANK
DB01426,C01BA,x-atc,DRUGBANK
DB01426,C01B,x-atc,DRUGBANK
DB01426,C01,x-atc,DRUGBANK
DB01426,C,x-atc,DRUGBANK
DB01427,C01CE,x-atc,DRUGBANK
DB01427,C01C,x-atc,DRUGBANK
DB01427,C01,x-atc,DRUGBANK
DB01427,C,x-atc,DRUGBANK
DB01429,C01BB,x-atc,DRUGBANK
DB01429,C01B,x-atc,DRUGBANK
DB01429,C01,x-atc,DRUGBANK
DB01429,C,x-atc,DRUGBANK
DB01430,R07AB,x-atc,DRUGBANK
DB01430,R07A,x-atc,DRUGBANK
DB01430,R07,x-atc,DRUGBANK
DB01430,R,x-atc,DRUGBANK
DB01431,G03DC,x-atc,DRUGBANK
DB01431,G03D,x-atc,DRUGBANK
DB01431,G03,x-atc,DRUGBANK
DB01431,G,x-atc,DRUGBANK
DB01432,C10AC,x-atc,DRUGBANK
DB01432,C10A,x-atc,DRUGBANK
DB01432,C10,x-atc,DRUGBANK
DB01432,C,x-atc,DRUGBANK
DB01435,N02BB,x-atc,DRUGBANK
DB01435,N02B,x-atc,DRUGBANK
DB01435,N02,x-atc,DRUGBANK
DB01435,N,x-atc,DRUGBANK
DB01436,A11CC,x-atc,DRUGBANK
DB01436,A11C,x-atc,DRUGBANK
DB01436,A11,x-atc,DRUGBANK
DB01436,A,x-atc,DRUGBANK
DB01437,N05CE,x-atc,DRUGBANK
DB01437,N05C,x-atc,DRUGBANK
DB01437,N05,x-atc,DRUGBANK
DB01437,N,x-atc,DRUGBANK
DB01438,G04BX,x-atc,DRUGBANK
DB01438,G04B,x-atc,DRUGBANK
DB01438,G04,x-atc,DRUGBANK
DB01438,G,x-atc,DRUGBANK
DB01452,N07BC,x-atc,DRUGBANK
DB01452,N07B,x-atc,DRUGBANK
DB01452,N07,x-atc,DRUGBANK
DB01452,N,x-atc,DRUGBANK
DB01459,N02AC,x-atc,DRUGBANK
DB01459,N02A,x-atc,DRUGBANK
DB01459,N02,x-atc,DRUGBANK
DB01459,N,x-atc,DRUGBANK
DB01463,N06BA,x-atc,DRUGBANK
DB01463,N06B,x-atc,DRUGBANK
DB01463,N06,x-atc,DRUGBANK
DB01463,N,x-atc,DRUGBANK
DB01466,S01XA,x-atc,DRUGBANK
DB01466,S01X,x-atc,DRUGBANK
DB01466,S01,x-atc,DRUGBANK
DB01466,S,x-atc,DRUGBANK
DB01482,N06BA,x-atc,DRUGBANK
DB01482,N06B,x-atc,DRUGBANK
DB01482,N06,x-atc,DRUGBANK
DB01482,N,x-atc,DRUGBANK
DB01483,N05CA,x-atc,DRUGBANK
DB01483,N05C,x-atc,DRUGBANK
DB01483,N05,x-atc,DRUGBANK
DB01483,N,x-atc,DRUGBANK
DB01486,A08AA,x-atc,DRUGBANK
DB01486,A08A,x-atc,DRUGBANK
DB01486,A08,x-atc,DRUGBANK
DB01486,A,x-atc,DRUGBANK
DB01489,N05BA,x-atc,DRUGBANK
DB01489,N05B,x-atc,DRUGBANK
DB01489,N05,x-atc,DRUGBANK
DB01489,N,x-atc,DRUGBANK
DB01493,A14AB,x-atc,DRUGBANK
DB01493,A14A,x-atc,DRUGBANK
DB01493,A14,x-atc,DRUGBANK
DB01493,A,x-atc,DRUGBANK
DB01495,N05CC,x-atc,DRUGBANK
DB01495,N05C,x-atc,DRUGBANK
DB01495,N05,x-atc,DRUGBANK
DB01495,N,x-atc,DRUGBANK
DB01501,A07DA,x-atc,DRUGBANK
DB01501,A07D,x-atc,DRUGBANK
DB01501,A07,x-atc,DRUGBANK
DB01501,A,x-atc,DRUGBANK
DB01529,N02AC,x-atc,DRUGBANK
DB01529,N02A,x-atc,DRUGBANK
DB01529,N02,x-atc,DRUGBANK
DB01529,N,x-atc,DRUGBANK
DB01534,N05CC,x-atc,DRUGBANK
DB01534,N05C,x-atc,DRUGBANK
DB01534,N05,x-atc,DRUGBANK
DB01534,N,x-atc,DRUGBANK
DB01538,R05DA,x-atc,DRUGBANK
DB01538,R05D,x-atc,DRUGBANK
DB01538,R05,x-atc,DRUGBANK
DB01538,R,x-atc,DRUGBANK
DB01544,N05CD,x-atc,DRUGBANK
DB01544,N05C,x-atc,DRUGBANK
DB01544,N05,x-atc,DRUGBANK
DB01544,N,x-atc,DRUGBANK
DB01545,N05BA,x-atc,DRUGBANK
DB01545,N05B,x-atc,DRUGBANK
DB01545,N05,x-atc,DRUGBANK
DB01545,N,x-atc,DRUGBANK
DB01551,N02AA,x-atc,DRUGBANK
DB01551,N02A,x-atc,DRUGBANK
DB01551,N02,x-atc,DRUGBANK
DB01551,N,x-atc,DRUGBANK
DB01553,N05BA,x-atc,DRUGBANK
DB01553,N05B,x-atc,DRUGBANK
DB01553,N05,x-atc,DRUGBANK
DB01553,N,x-atc,DRUGBANK
DB01558,N05BA,x-atc,DRUGBANK
DB01558,N05B,x-atc,DRUGBANK
DB01558,N05,x-atc,DRUGBANK
DB01558,N,x-atc,DRUGBANK
DB01559,N05BA,x-atc,DRUGBANK
DB01559,N05B,x-atc,DRUGBANK
DB01559,N05,x-atc,DRUGBANK
DB01559,N,x-atc,DRUGBANK
DB01563,N05CC,x-atc,DRUGBANK
DB01563,N05C,x-atc,DRUGBANK
DB01563,N05,x-atc,DRUGBANK
DB01563,N,x-atc,DRUGBANK
DB01567,N05BA,x-atc,DRUGBANK
DB01567,N05B,x-atc,DRUGBANK
DB01567,N05,x-atc,DRUGBANK
DB01567,N,x-atc,DRUGBANK
DB01574,A07BC,x-atc,DRUGBANK
DB01574,A07B,x-atc,DRUGBANK
DB01574,A07,x-atc,DRUGBANK
DB01574,A,x-atc,DRUGBANK
DB01575,A07BC,x-atc,DRUGBANK
DB01575,A07B,x-atc,DRUGBANK
DB01575,A07,x-atc,DRUGBANK
DB01575,A,x-atc,DRUGBANK
DB01576,N06BA,x-atc,DRUGBANK
DB01576,N06B,x-atc,DRUGBANK
DB01576,N06,x-atc,DRUGBANK
DB01576,N,x-atc,DRUGBANK
DB01577,N06BA,x-atc,DRUGBANK
DB01577,N06B,x-atc,DRUGBANK
DB01577,N06,x-atc,DRUGBANK
DB01577,N,x-atc,DRUGBANK
DB01578,V08AB,x-atc,DRUGBANK
DB01578,V08A,x-atc,DRUGBANK
DB01578,V08,x-atc,DRUGBANK
DB01578,V,x-atc,DRUGBANK
DB01580,C07BA,x-atc,DRUGBANK
DB01580,C07B,x-atc,DRUGBANK
DB01580,C07,x-atc,DRUGBANK
DB01580,C,x-atc,DRUGBANK
DB01581,J01ED,x-atc,DRUGBANK
DB01581,J01E,x-atc,DRUGBANK
DB01581,J01,x-atc,DRUGBANK
DB01581,J,x-atc,DRUGBANK
DB01582,J01EB,x-atc,DRUGBANK
DB01582,J01E,x-atc,DRUGBANK
DB01582,J01,x-atc,DRUGBANK
DB01582,J,x-atc,DRUGBANK
DB01586,A05AA,x-atc,DRUGBANK
DB01586,A05A,x-atc,DRUGBANK
DB01586,A05,x-atc,DRUGBANK
DB01586,A,x-atc,DRUGBANK
DB01587,N05BA,x-atc,DRUGBANK
DB01587,N05B,x-atc,DRUGBANK
DB01587,N05,x-atc,DRUGBANK
DB01587,N,x-atc,DRUGBANK
DB01588,N05BA,x-atc,DRUGBANK
DB01588,N05B,x-atc,DRUGBANK
DB01588,N05,x-atc,DRUGBANK
DB01588,N,x-atc,DRUGBANK
DB01589,N05CD,x-atc,DRUGBANK
DB01589,N05C,x-atc,DRUGBANK
DB01589,N05,x-atc,DRUGBANK
DB01589,N,x-atc,DRUGBANK
DB01590,L01XE,x-atc,DRUGBANK
DB01590,L01X,x-atc,DRUGBANK
DB01590,L01,x-atc,DRUGBANK
DB01590,L,x-atc,DRUGBANK
DB01591,G04BD,x-atc,DRUGBANK
DB01591,G04B,x-atc,DRUGBANK
DB01591,G04,x-atc,DRUGBANK
DB01591,G,x-atc,DRUGBANK
DB01592,B03AE,x-atc,DRUGBANK
DB01592,B03A,x-atc,DRUGBANK
DB01592,B03,x-atc,DRUGBANK
DB01592,B,x-atc,DRUGBANK
DB01593,C05AX,x-atc,DRUGBANK
DB01593,C05A,x-atc,DRUGBANK
DB01593,C05,x-atc,DRUGBANK
DB01593,C,x-atc,DRUGBANK
DB01594,N05CD,x-atc,DRUGBANK
DB01594,N05C,x-atc,DRUGBANK
DB01594,N05,x-atc,DRUGBANK
DB01594,N,x-atc,DRUGBANK
DB01595,N05CD,x-atc,DRUGBANK
DB01595,N05C,x-atc,DRUGBANK
DB01595,N05,x-atc,DRUGBANK
DB01595,N,x-atc,DRUGBANK
DB01597,J01DH,x-atc,DRUGBANK
DB01597,J01D,x-atc,DRUGBANK
DB01597,J01,x-atc,DRUGBANK
DB01597,J,x-atc,DRUGBANK
DB01598,J01DH,x-atc,DRUGBANK
DB01598,J01D,x-atc,DRUGBANK
DB01598,J01,x-atc,DRUGBANK
DB01598,J,x-atc,DRUGBANK
DB01599,C10AX,x-atc,DRUGBANK
DB01599,C10A,x-atc,DRUGBANK
DB01599,C10,x-atc,DRUGBANK
DB01599,C,x-atc,DRUGBANK
DB01600,M01AE,x-atc,DRUGBANK
DB01600,M01A,x-atc,DRUGBANK
DB01600,M01,x-atc,DRUGBANK
DB01600,M,x-atc,DRUGBANK
DB01601,J05AR,x-atc,DRUGBANK
DB01601,J05A,x-atc,DRUGBANK
DB01601,J05,x-atc,DRUGBANK
DB01601,J,x-atc,DRUGBANK
DB01602,J01CR,x-atc,DRUGBANK
DB01602,J01C,x-atc,DRUGBANK
DB01602,J01,x-atc,DRUGBANK
DB01602,J,x-atc,DRUGBANK
DB01603,J01CR,x-atc,DRUGBANK
DB01603,J01C,x-atc,DRUGBANK
DB01603,J01,x-atc,DRUGBANK
DB01603,J,x-atc,DRUGBANK
DB01604,J01CR,x-atc,DRUGBANK
DB01604,J01C,x-atc,DRUGBANK
DB01604,J01,x-atc,DRUGBANK
DB01604,J,x-atc,DRUGBANK
DB01605,J01CR,x-atc,DRUGBANK
DB01605,J01C,x-atc,DRUGBANK
DB01605,J01,x-atc,DRUGBANK
DB01605,J,x-atc,DRUGBANK
DB01606,J01CG,x-atc,DRUGBANK
DB01606,J01C,x-atc,DRUGBANK
DB01606,J01,x-atc,DRUGBANK
DB01606,J,x-atc,DRUGBANK
DB01607,J01CR,x-atc,DRUGBANK
DB01607,J01C,x-atc,DRUGBANK
DB01607,J01,x-atc,DRUGBANK
DB01607,J,x-atc,DRUGBANK
DB01608,N05AC,x-atc,DRUGBANK
DB01608,N05A,x-atc,DRUGBANK
DB01608,N05,x-atc,DRUGBANK
DB01608,N,x-atc,DRUGBANK
DB01609,V03AC,x-atc,DRUGBANK
DB01609,V03A,x-atc,DRUGBANK
DB01609,V03,x-atc,DRUGBANK
DB01609,V,x-atc,DRUGBANK
DB01610,J05AB,x-atc,DRUGBANK
DB01610,J05A,x-atc,DRUGBANK
DB01610,J05,x-atc,DRUGBANK
DB01610,J,x-atc,DRUGBANK
DB01611,P01BA,x-atc,DRUGBANK
DB01611,P01B,x-atc,DRUGBANK
DB01611,P01,x-atc,DRUGBANK
DB01611,P,x-atc,DRUGBANK
DB01612,V03AB,x-atc,DRUGBANK
DB01612,V03A,x-atc,DRUGBANK
DB01612,V03,x-atc,DRUGBANK
DB01612,V,x-atc,DRUGBANK
DB01613,C01DA,x-atc,DRUGBANK
DB01613,C01D,x-atc,DRUGBANK
DB01613,C01,x-atc,DRUGBANK
DB01613,C,x-atc,DRUGBANK
DB01614,N05AA,x-atc,DRUGBANK
DB01614,N05A,x-atc,DRUGBANK
DB01614,N05,x-atc,DRUGBANK
DB01614,N,x-atc,DRUGBANK
DB01616,A03AX,x-atc,DRUGBANK
DB01616,A03A,x-atc,DRUGBANK
DB01616,A03,x-atc,DRUGBANK
DB01616,A,x-atc,DRUGBANK
DB01618,N05AE,x-atc,DRUGBANK
DB01618,N05A,x-atc,DRUGBANK
DB01618,N05,x-atc,DRUGBANK
DB01618,N,x-atc,DRUGBANK
DB01619,R06AX,x-atc,DRUGBANK
DB01619,R06A,x-atc,DRUGBANK
DB01619,R06,x-atc,DRUGBANK
DB01619,R,x-atc,DRUGBANK
DB01620,R06AB,x-atc,DRUGBANK
DB01620,R06A,x-atc,DRUGBANK
DB01620,R06,x-atc,DRUGBANK
DB01620,R,x-atc,DRUGBANK
DB01621,N05AC,x-atc,DRUGBANK
DB01621,N05A,x-atc,DRUGBANK
DB01621,N05,x-atc,DRUGBANK
DB01621,N,x-atc,DRUGBANK
DB01622,N05AB,x-atc,DRUGBANK
DB01622,N05A,x-atc,DRUGBANK
DB01622,N05,x-atc,DRUGBANK
DB01622,N,x-atc,DRUGBANK
DB01623,N05AF,x-atc,DRUGBANK
DB01623,N05A,x-atc,DRUGBANK
DB01623,N05,x-atc,DRUGBANK
DB01623,N,x-atc,DRUGBANK
DB01624,N05AF,x-atc,DRUGBANK
DB01624,N05A,x-atc,DRUGBANK
DB01624,N05,x-atc,DRUGBANK
DB01624,N,x-atc,DRUGBANK
DB01625,A03CA,x-atc,DRUGBANK
DB01625,A03C,x-atc,DRUGBANK
DB01625,A03,x-atc,DRUGBANK
DB01625,A,x-atc,DRUGBANK
DB01626,C02LL,x-atc,DRUGBANK
DB01626,C02L,x-atc,DRUGBANK
DB01626,C02,x-atc,DRUGBANK
DB01626,C,x-atc,DRUGBANK
DB01627,J01FF,x-atc,DRUGBANK
DB01627,J01F,x-atc,DRUGBANK
DB01627,J01,x-atc,DRUGBANK
DB01627,J,x-atc,DRUGBANK
DB01628,M01AH,x-atc,DRUGBANK
DB01628,M01A,x-atc,DRUGBANK
DB01628,M01,x-atc,DRUGBANK
DB01628,M,x-atc,DRUGBANK
DB01638,B05CX,x-atc,DRUGBANK
DB01638,B05C,x-atc,DRUGBANK
DB01638,B05,x-atc,DRUGBANK
DB01638,B,x-atc,DRUGBANK
DB01656,R03DX,x-atc,DRUGBANK
DB01656,R03D,x-atc,DRUGBANK
DB01656,R03,x-atc,DRUGBANK
DB01656,R,x-atc,DRUGBANK
DB01677,D05AX,x-atc,DRUGBANK
DB01677,D05A,x-atc,DRUGBANK
DB01677,D05,x-atc,DRUGBANK
DB01677,D,x-atc,DRUGBANK
DB01698,C05CA,x-atc,DRUGBANK
DB01698,C05C,x-atc,DRUGBANK
DB01698,C05,x-atc,DRUGBANK
DB01698,C,x-atc,DRUGBANK
DB01708,G03EA,x-atc,DRUGBANK
DB01708,G03E,x-atc,DRUGBANK
DB01708,G03,x-atc,DRUGBANK
DB01708,G,x-atc,DRUGBANK
DB01718,D08AJ,x-atc,DRUGBANK
DB01718,D08A,x-atc,DRUGBANK
DB01718,D08,x-atc,DRUGBANK
DB01718,D,x-atc,DRUGBANK
DB01744,C01EB,x-atc,DRUGBANK
DB01744,C01E,x-atc,DRUGBANK
DB01744,C01,x-atc,DRUGBANK
DB01744,C,x-atc,DRUGBANK
DB01783,D03AX,x-atc,DRUGBANK
DB01783,D03A,x-atc,DRUGBANK
DB01783,D03,x-atc,DRUGBANK
DB01783,D,x-atc,DRUGBANK
DB02266,M01AG,x-atc,DRUGBANK
DB02266,M01A,x-atc,DRUGBANK
DB02266,M01,x-atc,DRUGBANK
DB02266,M,x-atc,DRUGBANK
DB02300,D05AX,x-atc,DRUGBANK
DB02300,D05A,x-atc,DRUGBANK
DB02300,D05,x-atc,DRUGBANK
DB02300,D,x-atc,DRUGBANK
DB02325,D08AX,x-atc,DRUGBANK
DB02325,D08A,x-atc,DRUGBANK
DB02325,D08,x-atc,DRUGBANK
DB02325,D,x-atc,DRUGBANK
DB02329,A02BX,x-atc,DRUGBANK
DB02329,A02B,x-atc,DRUGBANK
DB02329,A02,x-atc,DRUGBANK
DB02329,A,x-atc,DRUGBANK
DB02362,D02BA,x-atc,DRUGBANK
DB02362,D02B,x-atc,DRUGBANK
DB02362,D02,x-atc,DRUGBANK
DB02362,D,x-atc,DRUGBANK
DB02383,A10XA,x-atc,DRUGBANK
DB02383,A10X,x-atc,DRUGBANK
DB02383,A10,x-atc,DRUGBANK
DB02383,A,x-atc,DRUGBANK
DB02546,L01XX,x-atc,DRUGBANK
DB02546,L01X,x-atc,DRUGBANK
DB02546,L01,x-atc,DRUGBANK
DB02546,L,x-atc,DRUGBANK
DB02638,H01BA,x-atc,DRUGBANK
DB02638,H01B,x-atc,DRUGBANK
DB02638,H01,x-atc,DRUGBANK
DB02638,H,x-atc,DRUGBANK
DB02640,P01AX,x-atc,DRUGBANK
DB02640,P01A,x-atc,DRUGBANK
DB02640,P01,x-atc,DRUGBANK
DB02640,P,x-atc,DRUGBANK
DB02659,A05AA,x-atc,DRUGBANK
DB02659,A05A,x-atc,DRUGBANK
DB02659,A05,x-atc,DRUGBANK
DB02659,A,x-atc,DRUGBANK
DB02701,A11HA,x-atc,DRUGBANK
DB02701,A11H,x-atc,DRUGBANK
DB02701,A11,x-atc,DRUGBANK
DB02701,A,x-atc,DRUGBANK
DB02703,S01AA,x-atc,DRUGBANK
DB02703,S01A,x-atc,DRUGBANK
DB02703,S01,x-atc,DRUGBANK
DB02703,S,x-atc,DRUGBANK
DB02901,A14AA,x-atc,DRUGBANK
DB02901,A14A,x-atc,DRUGBANK
DB02901,A14,x-atc,DRUGBANK
DB02901,A,x-atc,DRUGBANK
DB02925,C03CA,x-atc,DRUGBANK
DB02925,C03C,x-atc,DRUGBANK
DB02925,C03,x-atc,DRUGBANK
DB02925,C,x-atc,DRUGBANK
DB02959,N06AX,x-atc,DRUGBANK
DB02959,N06A,x-atc,DRUGBANK
DB02959,N06,x-atc,DRUGBANK
DB02959,N,x-atc,DRUGBANK
DB03088,A12CC,x-atc,DRUGBANK
DB03088,A12C,x-atc,DRUGBANK
DB03088,A12,x-atc,DRUGBANK
DB03088,A,x-atc,DRUGBANK
DB03128,S01EB,x-atc,DRUGBANK
DB03128,S01E,x-atc,DRUGBANK
DB03128,S01,x-atc,DRUGBANK
DB03128,S,x-atc,DRUGBANK
DB03166,S02AA,x-atc,DRUGBANK
DB03166,S02A,x-atc,DRUGBANK
DB03166,S02,x-atc,DRUGBANK
DB03166,S,x-atc,DRUGBANK
DB03175,D08AX,x-atc,DRUGBANK
DB03175,D08A,x-atc,DRUGBANK
DB03175,D08,x-atc,DRUGBANK
DB03175,D,x-atc,DRUGBANK
DB03255,C05BB,x-atc,DRUGBANK
DB03255,C05B,x-atc,DRUGBANK
DB03255,C05,x-atc,DRUGBANK
DB03255,C,x-atc,DRUGBANK
DB03312,J05AB,x-atc,DRUGBANK
DB03312,J05A,x-atc,DRUGBANK
DB03312,J05,x-atc,DRUGBANK
DB03312,J,x-atc,DRUGBANK
DB03585,M01AA,x-atc,DRUGBANK
DB03585,M01A,x-atc,DRUGBANK
DB03585,M01,x-atc,DRUGBANK
DB03585,M,x-atc,DRUGBANK
DB03604,H03AA,x-atc,DRUGBANK
DB03604,H03A,x-atc,DRUGBANK
DB03604,H03,x-atc,DRUGBANK
DB03604,H,x-atc,DRUGBANK
DB03614,B03BA,x-atc,DRUGBANK
DB03614,B03B,x-atc,DRUGBANK
DB03614,B03,x-atc,DRUGBANK
DB03614,B,x-atc,DRUGBANK
DB03615,J01GB,x-atc,DRUGBANK
DB03615,J01G,x-atc,DRUGBANK
DB03615,J01,x-atc,DRUGBANK
DB03615,J,x-atc,DRUGBANK
DB03619,D11AX,x-atc,DRUGBANK
DB03619,D11A,x-atc,DRUGBANK
DB03619,D11,x-atc,DRUGBANK
DB03619,D,x-atc,DRUGBANK
DB03754,B05XX,x-atc,DRUGBANK
DB03754,B05X,x-atc,DRUGBANK
DB03754,B05,x-atc,DRUGBANK
DB03754,B,x-atc,DRUGBANK
DB03766,S01AX,x-atc,DRUGBANK
DB03766,S01A,x-atc,DRUGBANK
DB03766,S01,x-atc,DRUGBANK
DB03766,S,x-atc,DRUGBANK
DB03783,N02BE,x-atc,DRUGBANK
DB03783,N02B,x-atc,DRUGBANK
DB03783,N02,x-atc,DRUGBANK
DB03783,N,x-atc,DRUGBANK
DB03793,A16AX,x-atc,DRUGBANK
DB03793,A16A,x-atc,DRUGBANK
DB03793,A16,x-atc,DRUGBANK
DB03793,A,x-atc,DRUGBANK
DB03808,S03AA,x-atc,DRUGBANK
DB03808,S03A,x-atc,DRUGBANK
DB03808,S03,x-atc,DRUGBANK
DB03808,S,x-atc,DRUGBANK
DB03852,R05CA,x-atc,DRUGBANK
DB03852,R05C,x-atc,DRUGBANK
DB03852,R05,x-atc,DRUGBANK
DB03852,R,x-atc,DRUGBANK
DB03904,D02AE,x-atc,DRUGBANK
DB03904,D02A,x-atc,DRUGBANK
DB03904,D02,x-atc,DRUGBANK
DB03904,D,x-atc,DRUGBANK
DB04106,L01AD,x-atc,DRUGBANK
DB04106,L01A,x-atc,DRUGBANK
DB04106,L01,x-atc,DRUGBANK
DB04106,L,x-atc,DRUGBANK
DB04145,C10AD,x-atc,DRUGBANK
DB04145,C10A,x-atc,DRUGBANK
DB04145,C10,x-atc,DRUGBANK
DB04145,C,x-atc,DRUGBANK
DB04165,N03AG,x-atc,DRUGBANK
DB04165,N03A,x-atc,DRUGBANK
DB04165,N03,x-atc,DRUGBANK
DB04165,N,x-atc,DRUGBANK
DB04173,V06DC,x-atc,DRUGBANK
DB04173,V06D,x-atc,DRUGBANK
DB04173,V06,x-atc,DRUGBANK
DB04173,V,x-atc,DRUGBANK
DB04209,D08AH,x-atc,DRUGBANK
DB04209,D08A,x-atc,DRUGBANK
DB04209,D08,x-atc,DRUGBANK
DB04209,D,x-atc,DRUGBANK
DB04221,D08AJ,x-atc,DRUGBANK
DB04221,D08A,x-atc,DRUGBANK
DB04221,D08,x-atc,DRUGBANK
DB04221,D,x-atc,DRUGBANK
DB04272,A09AB,x-atc,DRUGBANK
DB04272,A09A,x-atc,DRUGBANK
DB04272,A09,x-atc,DRUGBANK
DB04272,A,x-atc,DRUGBANK
DB04335,G01AX,x-atc,DRUGBANK
DB04335,G01A,x-atc,DRUGBANK
DB04335,G01,x-atc,DRUGBANK
DB04335,G,x-atc,DRUGBANK
DB04339,R05CB,x-atc,DRUGBANK
DB04339,R05C,x-atc,DRUGBANK
DB04339,R05,x-atc,DRUGBANK
DB04339,R,x-atc,DRUGBANK
DB04377,C10AX,x-atc,DRUGBANK
DB04377,C10A,x-atc,DRUGBANK
DB04377,C10,x-atc,DRUGBANK
DB04377,C,x-atc,DRUGBANK
DB04398,G01AD,x-atc,DRUGBANK
DB04398,G01A,x-atc,DRUGBANK
DB04398,G01,x-atc,DRUGBANK
DB04398,G,x-atc,DRUGBANK
DB04445,D08AK,x-atc,DRUGBANK
DB04445,D08A,x-atc,DRUGBANK
DB04445,D08,x-atc,DRUGBANK
DB04445,D,x-atc,DRUGBANK
DB04552,M02AA,x-atc,DRUGBANK
DB04552,M02A,x-atc,DRUGBANK
DB04552,M02,x-atc,DRUGBANK
DB04552,M,x-atc,DRUGBANK
DB04570,J01DD,x-atc,DRUGBANK
DB04570,J01D,x-atc,DRUGBANK
DB04570,J01,x-atc,DRUGBANK
DB04570,J,x-atc,DRUGBANK
DB04571,D05BA,x-atc,DRUGBANK
DB04571,D05B,x-atc,DRUGBANK
DB04571,D05,x-atc,DRUGBANK
DB04571,D,x-atc,DRUGBANK
DB04572,L01AC,x-atc,DRUGBANK
DB04572,L01A,x-atc,DRUGBANK
DB04572,L01,x-atc,DRUGBANK
DB04572,L,x-atc,DRUGBANK
DB04573,G03CC,x-atc,DRUGBANK
DB04573,G03C,x-atc,DRUGBANK
DB04573,G03,x-atc,DRUGBANK
DB04573,G,x-atc,DRUGBANK
DB04576,J01MA,x-atc,DRUGBANK
DB04576,J01M,x-atc,DRUGBANK
DB04576,J01,x-atc,DRUGBANK
DB04576,J,x-atc,DRUGBANK
DB04599,N06BX,x-atc,DRUGBANK
DB04599,N06B,x-atc,DRUGBANK
DB04599,N06,x-atc,DRUGBANK
DB04599,N,x-atc,DRUGBANK
DB04630,H02AA,x-atc,DRUGBANK
DB04630,H02A,x-atc,DRUGBANK
DB04630,H02,x-atc,DRUGBANK
DB04630,H,x-atc,DRUGBANK
DB04660,N07AX,x-atc,DRUGBANK
DB04660,N07A,x-atc,DRUGBANK
DB04660,N07,x-atc,DRUGBANK
DB04660,N,x-atc,DRUGBANK
DB04711,V08AC,x-atc,DRUGBANK
DB04711,V08A,x-atc,DRUGBANK
DB04711,V08,x-atc,DRUGBANK
DB04711,V,x-atc,DRUGBANK
DB04743,M02AA,x-atc,DRUGBANK
DB04743,M02A,x-atc,DRUGBANK
DB04743,M02,x-atc,DRUGBANK
DB04743,M,x-atc,DRUGBANK
DB04786,P01CX,x-atc,DRUGBANK
DB04786,P01C,x-atc,DRUGBANK
DB04786,P01,x-atc,DRUGBANK
DB04786,P,x-atc,DRUGBANK
DB04794,D01AC,x-atc,DRUGBANK
DB04794,D01A,x-atc,DRUGBANK
DB04794,D01,x-atc,DRUGBANK
DB04794,D,x-atc,DRUGBANK
DB04812,M01AE,x-atc,DRUGBANK
DB04812,M01A,x-atc,DRUGBANK
DB04812,M01,x-atc,DRUGBANK
DB04812,M,x-atc,DRUGBANK
DB04813,D10AB,x-atc,DRUGBANK
DB04813,D10A,x-atc,DRUGBANK
DB04813,D10,x-atc,DRUGBANK
DB04813,D,x-atc,DRUGBANK
DB04815,G01AC,x-atc,DRUGBANK
DB04815,G01A,x-atc,DRUGBANK
DB04815,G01,x-atc,DRUGBANK
DB04815,G,x-atc,DRUGBANK
DB04816,A06AB,x-atc,DRUGBANK
DB04816,A06A,x-atc,DRUGBANK
DB04816,A06,x-atc,DRUGBANK
DB04816,A,x-atc,DRUGBANK
DB04817,N02BB,x-atc,DRUGBANK
DB04817,N02B,x-atc,DRUGBANK
DB04817,N02,x-atc,DRUGBANK
DB04817,N,x-atc,DRUGBANK
DB04818,N06AF,x-atc,DRUGBANK
DB04818,N06A,x-atc,DRUGBANK
DB04818,N06,x-atc,DRUGBANK
DB04818,N,x-atc,DRUGBANK
DB04819,R06AC,x-atc,DRUGBANK
DB04819,R06A,x-atc,DRUGBANK
DB04819,R06,x-atc,DRUGBANK
DB04819,R,x-atc,DRUGBANK
DB04820,N06AF,x-atc,DRUGBANK
DB04820,N06A,x-atc,DRUGBANK
